📂	:open_file_folder:	-	open_file_folder
✂️	:scissors:	#cut	black_scissors
📌	:pushpin:	#location	pushpin
📎	:paperclip:	-	paperclip
✒️	:black_nib:	-	black_nib
✏️	:pencil2:	-	pencil
📏	:straight_ruler:	-	straight_ruler
📐	:triangular_ruler:	-	triangular_ruler
📕	:closed_book:	-	closed_book
📗	:green_book:	-	green_book
📘	:blue_book:	-	blue_book
📙	:orange_book:	-	orange_book
📓	:notebook:	-	notebook
📔	:notebook_with_decorative_cover:	-	notebook_with_decorative_cover
📒	:ledger:	-	ledger
📚	:books:	#library	books
📖	:book:,:open_book:	-	open_book
🔖	:bookmark:	-	bookmark
📛	:name_badge:	-	name_badge
🔬	:microscope:	#science,#laboratory,#investigate	microscope
🔭	:telescope:	-	telescope
📰	:newspaper:	#press	newspaper
🎨	:art:	#design,#paint	artist_palette
🎬	:clapper:	#film	clapper_board
🎤	:microphone:	#sing	microphone
🎧	:headphones:	#music,#earphones	headphone
🎼	:musical_score:	-	musical_score
🎵	:musical_note:	-	musical_note
🎶	:notes:	#music	multiple_musical_notes
🎹	:musical_keyboard:	#piano	musical_keyboard
🎻	:violin:	-	violin
🎺	:trumpet:	-	trumpet
🎷	:saxophone:	-	saxophone
🎸	:guitar:	#rock	guitar
👾	:space_invader:	#game,#retro	alien_monster
🎮	:video_game:	#play,#controller,#console	video_game
🃏	:black_joker:	-	playing_card_black_joker
🎴	:flower_playing_cards:	-	flower_playing_cards
🀄	:mahjong:	-	mahjong_tile_red_dragon
🎲	:game_die:	#dice,#gambling	game_die
🎯	:dart:	#target	direct_hit
🏈	:football:	#sports	american_football
🏀	:basketball:	#sports	basketball_and_hoop
⚽	:soccer:	#sports	soccer_ball
⚾️	:baseball:	#sports	baseball
🎾	:tennis:	#sports	tennis_racquet_and_ball
🎱	:8ball:	#pool,#billiards	billiards
🏉	:rugby_football:	-	rugby_football
🎳	:bowling:	-	bowling
⛳	:golf:	-	flag_in_hole
🚵	:mountain_bicyclist:	-	mountain_bicyclist
🚴	:bicyclist:	-	bicyclist
🏁	:checkered_flag:	#milestone,#finish	chequered_flag
🏇	:horse_racing:	-	horse_racing
🏆	:trophy:	#award,#contest,#winner	trophy
🎿	:ski:	-	ski_and_ski_boot
🏂	:snowboarder:	-	snowboarder
🏊	:swimmer:	-	swimmer
🏄	:surfer:	-	surfer
🎣	:fishing_pole_and_fish:	-	fishing_pole_and_fish
☕	:coffee:	#cafe,#espresso	hot_beverage
🍵	:tea:	#green,#breakfast	teacup_without_handle
🍶	:sake:	-	sake_bottle_and_cup
🍼	:baby_bottle:	#milk	baby_bottle
🍺	:beer:	#drink	beer_mug
🍻	:beers:	#drinks	clinking_beer_mugs
🍸	:cocktail:	#drink	cocktail_glass
🍹	:tropical_drink:	#summer,#vacation	tropical_drink
🍷	:wine_glass:	-	wine_glass
🍴	:fork_and_knife:	#cutlery	fork_and_knife
🍕	:pizza:	-	slice_of_pizza
🍔	:hamburger:	#burger	hamburger
🍟	:fries:	-	french_fries
🍗	:poultry_leg:	#meat,#chicken	poultry_leg
🍖	:meat_on_bone:	-	meat_on_bone
🍝	:spaghetti:	#pasta	spaghetti
🍛	:curry:	-	curry_and_rice
🍤	:fried_shrimp:	#tempura	fried_shrimp
🍱	:bento:	-	bento_box
🍣	:sushi:	-	sushi
🍥	:fish_cake:	-	fish_cake_with_swirl_design
🍙	:rice_ball:	-	rice_ball
🍘	:rice_cracker:	-	rice_cracker
🍚	:rice:	-	cooked_rice
🍜	:ramen:	#noodle	steaming_bowl
🍲	:stew:	-	pot_of_food
🍢	:oden:	-	oden
🍡	:dango:	-	dango
🍳	:egg:	#breakfast	cooking
🍞	:bread:	#toast	bread
🍩	:doughnut:	-	doughnut
🍮	:custard:	-	custard
🍦	:icecream:	-	soft_ice_cream
🍨	:ice_cream:	-	ice_cream
🍧	:shaved_ice:	-	shaved_ice
🎂	:birthday:	#party	birthday_cake
🍰	:cake:	#dessert	shortcake
🍪	:cookie:	-	cookie
🍫	:chocolate_bar:	-	chocolate_bar
🍬	:candy:	#sweet	candy
🍭	:lollipop:	-	lollipop
🍯	:honey_pot:	-	honey_pot
🍎	:apple:	-	red_apple
🍏	:green_apple:	#fruit	green_apple
🍊	:tangerine:,:orange:,:mandarin:	-	tangerine
🍋	:lemon:	-	lemon
🍒	:cherries:	#fruit	cherries
🍇	:grapes:	-	grapes
🍉	:watermelon:	-	watermelon
🍓	:strawberry:	#fruit	strawberry
🍑	:peach:	-	peach
🍈	:melon:	-	melon
🍌	:banana:	#fruit	banana
🍐	:pear:	-	pear
🍍	:pineapple:	-	pineapple
🍠	:sweet_potato:	-	roasted_sweet_potato
🍆	:eggplant:	#aubergine	aubergine
🍅	:tomato:	-	tomato
🌽	:corn:	-	ear_of_maize
🏠	:house:	-	house_building
🏡	:house_with_garden:	-	house_with_garden
🏫	:school:	-	school
🏢	:office:	-	office_building
🏣	:post_office:	-	japanese_post_office
🏥	:hospital:	-	hospital
🏦	:bank:	-	bank
🏪	:convenience_store:	-	convenience_store
🏩	:love_hotel:	-	love_hotel
🏨	:hotel:	-	hotel
💒	:wedding:	#marriage	wedding
⛪	:church:	-	church
🏬	:department_store:	-	department_store
🏤	:european_post_office:	-	european_post_office
🌇	:city_sunrise:	-	sunset_over_buildings
🌆	:city_sunset:	-	cityscape_at_dusk
🏯	:japanese_castle:	-	japanese_castle
🏰	:european_castle:	-	european_castle
⛺	:tent:	#camping	tent
🏭	:factory:	-	factory
🗼	:tokyo_tower:	-	tokyo_tower
🗾	:japan:	-	silhouette_of_japan
🗻	:mount_fuji:	-	mount_fuji
🌄	:sunrise_over_mountains:	-	sunrise_over_mountains
🌅	:sunrise:	-	sunrise
🌃	:night_with_stars:	-	night_with_stars
🗽	:statue_of_liberty:	-	statue_of_liberty
🌉	:bridge_at_night:	-	bridge_at_night
🎠	:carousel_horse:	-	carousel_horse
🎡	:ferris_wheel:	-	ferris_wheel
⛲	:fountain:	-	fountain
🎢	:roller_coaster:	-	roller_coaster
🚢	:ship:	-	ship
⛵	:boat:,:sailboat:	-	sailboat
🚤	:speedboat:	#ship	speedboat
🚣	:rowboat:	-	rowboat
⚓	:anchor:	#ship	anchor
🚀	:rocket:	#ship,#launch	rocket
✈️	:airplane:	#flight	airplane
💺	:seat:	-	seat
🚁	:helicopter:	-	helicopter
🚂	:steam_locomotive:	#train	steam_locomotive
🚊	:tram:	-	tram
🚉	:station:	-	station
🚞	:mountain_railway:	-	mountain_railway
🚆	:train2:	-	train
🚄	:bullettrain_side:	#train	high-speed_train
🚅	:bullettrain_front:	#train	high-speed_train_with_bullet_nose
🚈	:light_rail:	-	light_rail
🚇	:metro:	-	metro
🚝	:monorail:	-	monorail
🚋	:train:	-	tram_car
🚃	:railway_car:	-	railway_car
🚎	:trolleybus:	-	trolleybus
🚌	:bus:	-	bus
🚍	:oncoming_bus:	-	oncoming_bus
🚙	:blue_car:	-	recreational_vehicle
🚘	:oncoming_automobile:	-	oncoming_automobile
🚗	:car:,:red_car:	-	automobile
🚕	:taxi:	-	taxi
🚖	:oncoming_taxi:	-	oncoming_taxi
🚛	:articulated_lorry:	-	articulated_lorry
🚚	:truck:	-	delivery_truck
🚨	:rotating_light:	#911,#emergency	police_cars_revolving_light
🚓	:police_car:	-	police_car
🚔	:oncoming_police_car:	-	oncoming_police_car
🚒	:fire_engine:	-	fire_engine
🚑	:ambulance:	-	ambulance
🚐	:minibus:	-	minibus
🚲	:bike:	#bicycle	bicycle
🚡	:aerial_tramway:	-	aerial_tramway
🚟	:suspension_railway:	-	suspension_railway
🚠	:mountain_cableway:	-	mountain_cableway
🚜	:tractor:	-	tractor
💈	:barber:	-	barber_pole
🚏	:busstop:	-	bus_stop
🎫	:ticket:	-	ticket
🚦	:vertical_traffic_light:	#semaphore	vertical_traffic_light
🚥	:traffic_light:	-	horizontal_traffic_light
⚠️	:warning:	#wip	warning_sign
🚧	:construction:	#wip	construction_sign
🔰	:beginner:	-	japanese_symbol_for_beginner
⛽	:fuelpump:	-	fuel_pump
🏮	:izakaya_lantern:,:lantern:	-	izakaya_lantern
🎰	:slot_machine:	-	slot_machine
♨️	:hotsprings:	-	hot_springs
🗿	:moyai:	#stone	moyai
🎪	:circus_tent:	-	circus_tent
🎭	:performing_arts:	#theater,#drama	performing_arts
📍	:round_pushpin:	#location	round_pushpin
🚩	:triangular_flag_on_post:	-	triangular_flag_on_post
🇯🇵	:jp:	#japan	regional_indicator_symbol_letter_j_+_regional_indicator_symbol_letter_p
🇰🇷	:kr:	#korea	regional_indicator_symbol_letter_k_+_regional_indicator_symbol_letter_r
🇩🇪	:de:	#flag,#germany	regional_indicator_symbol_letter_d_+_regional_indicator_symbol_letter_e
🇨🇳	:cn:	#china	regional_indicator_symbol_letter_c_+_regional_indicator_symbol_letter_n
🇺🇸	:us:	#flag,#united,#america	regional_indicator_symbol_letter_u_+_regional_indicator_symbol_letter_s
🇫🇷	:fr:	#france,#french	regional_indicator_symbol_letter_f_+_regional_indicator_symbol_letter_r
🇪🇸	:es:	#spain	regional_indicator_symbol_letter_e_+_regional_indicator_symbol_letter_s
🇮🇹	:it:	#italy	regional_indicator_symbol_letter_i_+_regional_indicator_symbol_letter_t
🇷🇺	:ru:	#russia	regional_indicator_symbol_letter_r_+_regional_indicator_symbol_letter_u
🇬🇧	:gb:,:uk:	#flag,#british	regional_indicator_symbol_letter_g_+_regional_indicator_symbol_letter_b
1️⃣	:one:	-	digit_one_+_combining_enclosing_keycap
2️⃣	:two:	-	digit_two_+_combining_enclosing_keycap
3️⃣	:three:	-	digit_three_+_combining_enclosing_keycap
4️⃣	:four:	-	digit_four_+_combining_enclosing_keycap
5️⃣	:five:	-	digit_five_+_combining_enclosing_keycap
6️⃣	:six:	-	digit_six_+_combining_enclosing_keycap
7️⃣	:seven:	-	digit_seven_+_combining_enclosing_keycap
8️⃣	:eight:	-	digit_eight_+_combining_enclosing_keycap
9️⃣	:nine:	-	digit_nine_+_combining_enclosing_keycap
0️⃣	:zero:	-	digit_zero_+_combining_enclosing_keycap
🔟	:keycap_ten:	-	keycap_ten
🔢	:1234:	#numbers	input_symbol_for_numbers
#️⃣	:hash:	#number	number_sign_+_combining_enclosing_keycap
🔣	:symbols:	-	input_symbol_for_symbols
⬆️	:arrow_up:	-	upwards_black_arrow
⬇️	:arrow_down:	-	downwards_black_arrow
⬅️	:arrow_left:	-	leftwards_black_arrow
➡️	:arrow_right:	-	black_rightwards_arrow
🔠	:capital_abcd:	#letters	input_symbol_for_latin_capital_letters
🔡	:abcd:	-	input_symbol_for_latin_small_letters
🔤	:abc:	#alphabet	input_symbol_for_latin_letters
↗️	:arrow_upper_right:	-	north_east_arrow
↖️	:arrow_upper_left:	-	north_west_arrow
↘️	:arrow_lower_right:	-	south_east_arrow
↙️	:arrow_lower_left:	-	south_west_arrow
↔️	:left_right_arrow:	-	left_right_arrow
↕️	:arrow_up_down:	-	up_down_arrow
